task,task_label,variant,method_label,metric,count,mean,std,ci95_low,ci95_high,min,max
T3_ring,Ring,A2,A2 fixed,Ubar,20,0.5292428375,0.02332126025669114,0.5183281517240005,0.5401575232759995,0.48767389,0.5632478
T3_ring,Ring,A3,A3 iso.,A_swap,20,0.2472947715,0.03324053583232981,0.23173772185335245,0.26285182114664757,0.19788293,0.3148071
T3_ring,Ring,A3,A3 iso.,R_high_E,20,0.099317671,0.027096968891933262,0.0866358991882631,0.11199944281173689,0.0461185,0.14091979
T3_ring,Ring,A3,A3 iso.,Ubar,20,0.646386588,0.023320424901443593,0.6354722931822908,0.6573008828177093,0.59162738,0.6829375
T3_ring,Ring,A4,A4 NoiSDE,A_swap,20,0.330211053,0.04396886658923697,0.30963299000228206,0.3507891159977179,0.26911493,0.3917505
T3_ring,Ring,A4,A4 NoiSDE,R_high_E,20,0.052172989999999995,0.022933702111291195,0.04143968701937302,0.06290629298062697,0.0162276,0.08792546
T3_ring,Ring,A4,A4 NoiSDE,Ubar,20,0.7936648715,0.018270991886629964,0.7851137840774759,0.8022159589225241,0.74053088,0.8138609
T3_ring,Ring,A5,A5 over-noise,A_swap,20,0.04180067,0.016963737301447648,0.0338613965561997,0.0497399434438003,0.0082683,0.07382861
T3_ring,Ring,A5,A5 over-noise,R_high_E,20,0.340013198,0.04174111958289274,0.32047775269511003,0.35954864330489,0.25,0.4085625
T3_ring,Ring,A5,A5 over-noise,Ubar,20,0.26115168450000004,0.0933404286437246,0.21746701919332737,0.30483634980667274,0.15079981,0.3729976
T3_ring,Ring,B1,B1 learned,A_swap,20,0.260134875,0.025359044090473598,0.24826647703262067,0.2720032729673793,0.2285171,0.3051819
T3_ring,Ring,B1,B1 learned,R_high_E,20,0.08938342099999999,0.03793834896465607,0.07162772712875509,0.10713911487124489,0.0364348,0.13844074
T3_ring,Ring,B1,B1 learned,Ubar,20,0.6708961415,0.0164005714939094,0.6632204377673306,0.6785718452326693,0.63223735,0.7020907
alanine_transport,"Ala.
trans.",F0,F0 det.,A_swap,10,0.104865253,0.01402149579431607,0.09483487915175105,0.11489562684824896,0.08201861,0.1287391
alanine_transport,"Ala.
trans.",F0,F0 det.,R_high_E,10,0.15622372,0.08990849118696397,0.09190705992562936,0.22054038007437066,0.0648965,0.26090139
alanine_transport,"Ala.
trans.",F0,F0 det.,Ubar,10,0.28389935899999996,0.04472668732383123,0.2519038143425159,0.315894903657484,0.21026885,0.3585603
alanine_transport,"Ala.
trans.",A2,A2 fixed,A_swap,10,0.207446318,0.012223381568978358,0.19870223758053793,0.21619039841946205,0.1873023,0.22603141
alanine_transport,"Ala.
trans.",A2,A2 fixed,R_high_E,10,0.10738075899999999,0.05849184438858738,0.0655382141747208,0.14922330382527918,0.0388341,0.17619828
alanine_transport,"Ala.
trans.",A2,A2 fixed,Ubar,10,0.5026466359999999,0.018633904380187794,0.4893167438167727,0.5159765281832271,0.47950543,0.53644593
alanine_transport,"Ala.
trans.",A3,A3 iso.,A_swap,10,0.261505078,0.022650013149811143,0.24530223467336604,0.27770792132663397,0.2278277,0.29026969
