tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt,metric_scope
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,A_swap,0.16136162,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,C_mode,0.55382992,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,D_E,0.28610418,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,ESS,115.72675,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,ESS_N,0.11572675,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,R_high_E,0.047049705,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,Ubar,0.31532684,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,Var_w,7.4467681,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,chi2,8.0028489,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,ess_chi2_predicted,0.11107595,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R008,toy_sampling__T1_double_well__deterministic__R008,ess_chi2_relative_error_pct,4.0187739,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,A_swap,0.14610008,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,C_mode,0.54480662,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,D_E,0.29113783,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,ESS,117.09909,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,ESS_N,0.11709909,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,R_high_E,0.058404903,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,Ubar,0.27495049,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,Var_w,7.3892697,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,chi2,7.8816964,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,ess_chi2_predicted,0.1125911,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R009,toy_sampling__T1_double_well__deterministic__R009,ess_chi2_relative_error_pct,3.8497177,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R010,toy_sampling__T1_double_well__deterministic__R010,A_swap,0.13634761,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R010,toy_sampling__T1_double_well__deterministic__R010,C_mode,0.55118745,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
